Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Kenneth Faried\farieke01,2016-17,27,DEN,NBA,19.6,61,34,1296,20.3,.014,.455,15.5,23.6,6.3,1.6,2.4,10.4,18.2,123,110,3.3,1.2,4.6,.169,0.9,-0.1,0.8,0.9
2,Kevin Love\loveke01,2016-17,28,CLE,NBA,19.5,60,60,1885,21.1,.449,.340,8.9,29.3,9.8,1.4,0.9,10.9,26.4,114,107,4.0,2.4,6.4,.163,1.7,-0.9,0.8,1.3
3,Kyle O'Quinn\oquinky01,2016-17,26,NYK,NBA,19.2,79,8,1229,20.5,.041,.201,13.7,24.8,14.8,1.5,6.9,14.5,18.6,114,105,2.1,1.8,3.9,.151,-0.1,3.7,3.5,1.7
4,Zach Randolph\randoza01,2016-17,35,MEM,NBA,19.1,73,5,1786,18.5,.098,.200,11.3,27.4,13.5,1.1,0.5,8.6,29.2,103,106,0.8,2.4,3.2,.086,-1.4,-0.7,-2.1,0.0
5,Clint Capela\capelca01,2016-17,22,HOU,NBA,18.5,65,59,1551,21.4,.000,.314,12.5,24.5,6.9,1.1,4.2,12.0,19.9,122,106,3.9,2.1,6.0,.185,0.0,1.0,1.0,1.2
6,Willie Reed\reedwi02,2016-17,26,MIA,NBA,17.8,71,5,1031,17.1,.018,.309,13.7,22.0,3.9,0.9,3.6,8.7,15.3,122,105,2.1,1.5,3.6,.168,-1.3,0.7,-0.6,0.4
7,Pau Gasol\gasolpa01,2016-17,36,SAS,NBA,17.4,64,39,1627,20.2,.172,.305,7.6,26.8,14.7,0.8,3.5,10.6,21.3,116,102,3.3,3.1,6.4,.189,0.9,2.8,3.7,2.4
8,Anthony Davis\davisan02,2016-17,23,NOP,NBA,17.3,75,75,2708,27.5,.088,.424,6.7,27.9,11.1,1.7,5.1,9.1,32.6,112,102,5.9,5.1,11.0,.196,1.4,2.3,3.7,3.9
9,Trevor Booker\booketr01,2016-17,29,BRK,NBA,17.2,71,43,1754,15.7,.132,.186,8.7,25.5,12.9,2.1,1.2,16.4,18.7,105,107,0.9,2.2,3.2,.086,-1.6,1.8,0.2,1.0
10,Noah Vonleh\vonleno01,2016-17,21,POR,NBA,17.0,74,41,1265,10.8,.074,.348,11.4,22.5,3.4,1.2,1.7,17.1,13.1,106,110,0.6,1.2,1.8,.069,-3.5,-0.3,-3.9,-0.6
11,David Lee\leeda02,2016-17,33,SAS,NBA,16.9,79,10,1477,18.4,.000,.269,11.6,21.9,13.0,1.1,2.2,14.9,16.9,120,103,3.2,2.5,5.7,.186,0.7,2.5,3.2,1.9
12,Tristan Thompson\thomptr01,2016-17,25,CLE,NBA,16.9,78,78,2336,15.3,.007,.487,14.0,19.7,4.6,0.8,2.9,10.8,11.3,128,109,5.0,2.3,7.3,.150,0.0,1.5,1.5,2.0
13,Julius Randle\randlju01,2016-17,22,LAL,NBA,16.3,74,73,2132,16.3,.081,.364,7.5,25.8,19.3,1.1,1.4,16.2,21.5,107,112,2.0,1.5,3.5,.079,-0.8,0.7,0.0,1.1
14,Cristiano Felicio\feliccr01,2016-17,24,CHI,NBA,16.1,66,0,1040,15.2,.000,.419,12.8,19.5,5.7,1.2,1.2,11.2,12.4,126,107,2.1,1.3,3.4,.157,-0.6,0.5,-0.1,0.5
15,Bobby Portis\portibo01,2016-17,21,CHI,NBA,15.9,64,13,1000,14.9,.256,.157,8.0,23.9,5.7,0.8,0.9,8.4,19.1,110,107,1.1,1.2,2.4,.114,-1.6,-1.5,-3.1,-0.3
16,JaMychal Green\greenja01,2016-17,26,MEM,NBA,14.8,77,75,2101,13.5,.288,.334,8.8,21.1,6.3,1.1,1.5,14.1,14.4,117,107,3.1,2.6,5.8,.131,-0.4,1.0,0.6,1.4
17,Giannis Antetokounmpo\antetgi01,2016-17,22,MIL,NBA,14.3,80,80,2845,26.1,.143,.487,5.8,22.6,26.5,2.3,4.7,13.3,28.2,117,104,7.9,4.5,12.4,.210,4.1,3.5,7.6,6.9
18,Lavoy Allen\allenla01,2016-17,27,IND,NBA,14.2,61,5,871,11.6,.006,.196,13.7,14.6,9.1,1.0,2.4,13.7,10.9,114,110,0.9,0.8,1.7,.093,-1.5,1.3,-0.3,0.4
19,Al-Farouq Aminu\aminual01,2016-17,26,POR,NBA,14.1,61,25,1773,11.3,.455,.292,4.8,23.5,7.9,1.7,2.0,15.2,15.4,100,108,-0.1,2.0,1.9,.051,-2.3,1.2,-1.1,0.4
20,Larry Nance Jr.\nancela02,2016-17,24,LAL,NBA,14.0,63,7,1442,15.8,.100,.222,8.8,19.6,9.7,2.8,2.3,12.4,13.4,117,109,2.1,1.5,3.5,.118,-0.3,2.3,2.0,1.5
21,Willie Cauley-Stein\caulewi01,2016-17,23,SAC,NBA,13.8,75,21,1421,16.4,.004,.314,7.0,20.5,9.4,1.9,2.9,11.2,19.6,109,108,1.4,1.5,3.0,.100,-2.0,0.9,-1.1,0.3
22,Kevin Durant\duranke01,2016-17,28,GSW,NBA,13.6,62,62,2070,27.6,.304,.374,2.2,23.6,23.2,1.5,3.8,10.4,27.8,125,101,8.0,4.0,12.0,.278,5.4,2.6,8.0,5.2
23,Rondae Hollis-Jefferson\holliro01,2016-17,22,BRK,NBA,13.6,78,50,1761,13.7,.124,.467,5.8,21.2,13.4,2.2,1.9,15.1,18.7,102,107,0.4,2.2,2.6,.070,-2.9,1.9,-1.0,0.4
24,Jason Smith\smithja02,2016-17,30,WAS,NBA,13.6,74,3,1068,13.6,.237,.155,6.8,20.4,5.0,1.0,4.3,14.2,16.7,110,108,1.0,1.3,2.3,.103,-2.0,0.6,-1.3,0.2
25,Blake Griffin\griffbl01,2016-17,27,LAC,NBA,13.4,61,61,2076,22.6,.116,.434,6.1,20.2,24.5,1.4,0.9,10.9,28.0,115,108,5.4,2.4,7.7,.179,3.2,1.3,4.4,3.4
26,Dwight Powell\poweldw01,2016-17,25,DAL,NBA,13.4,77,3,1333,17.7,.196,.374,7.8,19.5,6.1,2.4,2.6,7.2,16.7,120,105,2.7,1.9,4.6,.166,-0.4,1.9,1.4,1.2
27,Draymond Green\greendr01,2016-17,26,GSW,NBA,13.3,76,76,2471,16.5,.405,.328,4.6,20.9,27.6,3.0,3.4,19.8,16.2,111,99,2.8,5.4,8.2,.160,0.4,5.0,5.4,4.6
28,Dario Saric\saricda01,2016-17,22,PHI,NBA,13.3,81,36,2129,12.8,.368,.237,5.8,20.8,14.3,1.3,1.1,15.2,24.6,96,109,-1.2,2.2,1.0,.023,-2.0,-0.2,-2.2,-0.1
29,Taj Gibson\gibsota01,2016-17,31,TOT,NBA,13.2,78,71,1989,15.1,.018,.223,8.6,18.0,5.9,1.1,2.6,11.9,19.3,107,107,1.6,2.5,4.0,.098,-2.4,0.3,-2.1,0.0
30,Michael Kidd-Gilchrist\kiddgmi01,2016-17,23,CHO,NBA,13.2,81,81,2349,14.2,.015,.314,7.2,19.3,7.4,1.7,2.9,7.4,14.6,113,106,2.7,3.1,5.8,.119,-2.1,2.2,0.2,1.3
