Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Position,ID
Davis Bertans,2016-17,24,SAS,NBA,6.9,67,6,808,12.9,.739,.145,3.2,10.6,8.3,1.3,2.8,11.4,15.7,115,105,1.1,1.2,2.3,.135,1.2,0.5,1.7,0.8,Forward,bertada01
Richard Jefferson,2016-17,36,CLE,NBA,6.9,79,13,1614,8.2,.542,.315,2.0,11.5,6.6,0.8,0.5,11.8,12.2,111,113,1.3,0.8,2.1,.063,-1.3,-1.0,-2.4,-0.1,Forward,jefferi01
Timothe Luwawu-Cabarrot,2016-17,21,PHI,NBA,6.9,69,19,1190,8.5,.446,.341,2.3,11.4,9.6,1.3,0.7,15.0,17.8,100,112,0.0,0.8,0.8,.034,-2.7,-1.2,-4.0,-0.6,Forward,luwawti01
Solomon Hill,2016-17,25,NOP,NBA,6.8,80,71,2374,8.0,.566,.268,2.3,11.4,8.1,1.5,1.1,13.3,11.5,103,109,0.4,2.3,2.7,.055,-1.8,1.5,-0.3,1.0,Forward,hillso01
Mindaugas Kuzminskas,2016-17,27,NYK,NBA,6.7,68,5,1016,12.5,.457,.185,5.0,8.4,10.3,1.4,0.9,11.2,19.1,107,114,0.8,0.4,1.2,.057,-0.1,-2.5,-2.6,-0.2,Forward,kuzmimi01
Doug McDermott,2016-17,25,TOT,NBA,6.4,66,5,1508,10.7,.416,.169,1.4,11.5,5.9,0.4,0.3,6.6,16.4,112,112,1.6,1.0,2.6,.083,-1.2,-2.3,-3.5,-0.6,Forward,mcderdo01
Andrew Wiggins,2016-17,21,MIN,NBA,6.3,82,82,3048,16.5,.184,.345,3.9,8.8,10.6,1.4,0.8,9.4,29.0,107,115,3.3,0.9,4.2,.066,0.2,-2.9,-2.8,-0.6,Forward,wiggian01
Terrence Ross,2016-17,25,TOT,NBA,5.9,78,24,1955,13.4,.524,.103,1.0,10.9,7.1,2.2,1.4,8.0,19.3,107,109,1.5,2.0,3.5,.086,0.3,-0.6,-0.3,0.8,Forward,rosste01
Luc Mbah a Moute,2016-17,30,LAC,NBA,5.5,80,76,1787,10.3,.291,.230,3.0,7.8,3.1,2.3,1.6,10.1,11.6,111,109,1.3,1.8,3.1,.084,-0.8,1.6,0.8,1.3,Forward,mbahalu01
Moses Malone,1982-83,27,PHI,NBA,21.6,78,78,2922,25.1,.001,.604,16.8,25.9,5.1,1.4,3.0,13.8,26.0,116,97,9.1,6.0,15.1,.248,2.9,0.5,3.4,4.0,Center,malonmo01
LaSalle Thompson,1982-83,21,KCK,NBA,20.5,71,3,987,14.7,.003,.477,14.6,26.5,4.2,1.8,3.5,21.7,17.3,101,99,0.5,1.7,2.3,.110,-2.2,1.1,-1.1,0.2,Center,thompla01
Artis Gilmore,1982-83,33,SAS,NBA,19.2,82,82,2797,21.2,.007,.559,12.1,25.8,6.1,0.7,3.7,18.7,19.4,119,103,7.5,3.5,11.0,.189,2.5,1.1,3.6,4.0,Center,gilmoar01
Robert Parish,1982-83,29,BOS,NBA,18.1,78,76,2459,23.0,.001,.345,11.4,24.6,8.4,1.5,3.3,12.5,23.6,114,98,6.2,4.6,10.8,.211,2.4,1.5,4.0,3.7,Center,parisro01
Bill Laimbeer,1982-83,25,DET,NBA,18.0,82,82,2871,16.6,.015,.353,10.0,26.3,12.1,0.8,2.2,14.8,16.0,113,103,4.9,3.6,8.5,.142,0.6,1.7,2.3,3.1,Center,laimbbi01
Jack Sikma,1982-83,27,SEA,NBA,17.8,75,71,2564,19.6,.008,.458,9.3,25.7,12.6,1.6,1.3,13.2,22.5,111,99,5.2,4.6,9.8,.183,1.3,1.9,3.2,3.4,Center,sikmaja01
Marvin Webster,1982-83,30,NYK,NBA,17.7,82,0,1472,14.0,.003,.544,13.9,21.5,4.7,1.2,5.5,19.9,14.8,102,96,0.8,3.2,4.0,.130,-2.1,3.8,1.7,1.4,Center,webstma01
Mike Gminski,1982-83,23,NJN,NBA,17.2,80,1,1255,18.4,.002,.528,14.0,20.3,6.7,1.3,5.4,19.4,20.4,107,96,1.7,2.6,4.3,.166,-1.0,2.3,1.3,1.0,Center,gminsmi01
Jeff Ruland,1982-83,24,WSB,NBA,16.8,79,47,2862,19.4,.003,.518,11.2,22.6,12.9,1.2,1.5,18.7,23.0,107,98,4.6,5.5,10.1,.169,1.9,2.4,4.3,4.6,Center,rulanje01
Alton Lister,1982-83,24,MIL,NBA,16.6,80,37,1885,13.8,.000,.471,10.3,22.3,8.0,1.3,5.2,23.1,17.7,95,96,-0.2,3.9,3.8,.096,-2.4,3.6,1.2,1.5,Center,listeal01
Wayne Cooper,1982-83,26,POR,NBA,16.3,80,60,2099,12.4,.007,.272,11.4,21.3,7.6,0.6,3.6,16.7,18.8,97,102,0.1,2.8,2.9,.067,-2.4,1.2,-1.2,0.4,Center,coopewa01
Tree Rollins,1982-83,27,ATL,NBA,16.0,80,80,2472,15.4,.002,.264,9.1,22.8,4.1,1.0,7.8,14.3,11.2,109,97,2.3,5.0,7.3,.142,-1.8,5.4,3.6,3.5,Center,rollitr01
Dave Corzine,1982-83,26,CHI,NBA,15.4,82,71,2496,15.1,.002,.350,10.4,20.3,8.7,0.9,2.3,17.7,20.0,103,107,1.9,2.0,4.0,.076,-0.7,0.2,-0.6,0.9,Center,corzida01
Mark Eaton,1982-83,26,UTA,NBA,15.4,81,32,1528,11.0,.003,.255,5.9,24.4,9.2,0.7,9.2,26.3,13.6,81,98,-2.1,2.9,0.8,.026,-6.4,5.5,-0.8,0.5,Center,eatonma01
Rich Kelley,1982-83,29,TOT,NBA,15.3,70,23,1345,12.2,.000,.597,10.0,20.3,12.2,1.8,1.5,24.2,13.8,103,104,0.9,1.5,2.4,.086,-1.5,1.5,0.0,0.7,Center,kelleri01
James Donaldson,1982-83,25,SEA,NBA,14.9,82,11,1789,15.6,.000,.440,8.2,21.1,7.3,0.5,3.0,18.2,16.2,110,101,2.5,2.6,5.1,.138,-0.7,1.4,0.6,1.2,Center,donalja01
Caldwell Jones,1982-83,32,HOU,NBA,14.7,82,82,2440,12.3,.003,.304,9.2,20.9,7.9,0.9,3.0,18.2,15.4,98,106,0.4,2.1,2.5,.050,-2.5,1.5,-1.0,0.6,Center,jonesca01
Clemon Johnson,1982-83,26,TOT,NBA,14.6,83,11,1914,15.3,.002,.310,10.5,18.9,9.5,1.6,2.7,15.8,16.1,107,104,2.1,2.2,4.3,.109,-0.2,1.3,1.1,1.5,Center,johnscl01
Harvey Catchings,1982-83,31,MIL,NBA,14.4,74,33,1554,9.8,.000,.467,9.8,18.6,6.0,0.8,5.3,25.9,8.5,99,98,0.3,2.8,3.1,.096,-2.9,4.3,1.5,1.4,Center,catchha01
Kurt Nimphius,1982-83,24,DAL,NBA,14.4,81,12,1515,12.5,.003,.394,11.0,17.9,9.3,0.7,4.0,13.7,12.6,111,107,1.8,1.1,2.9,.093,-0.4,1.5,1.0,1.2,Center,nimphku01
Rick Mahorn,1982-83,24,WSB,NBA,14.3,82,82,3023,11.6,.004,.331,6.2,22.5,5.4,1.4,2.8,16.2,14.4,97,96,0.0,6.2,6.2,.099,-3.0,3.8,0.8,2.1,Center,mahorri01
Danny Schayes,1982-83,23,TOT,NBA,14.1,82,50,2284,12.1,.001,.394,9.1,19.0,11.7,1.0,2.2,22.4,19.1,95,105,-0.4,2.3,2.0,.041,-2.2,0.9,-1.4,0.4,Center,schayda01
Bill Cartwright,1982-83,25,NYK,NBA,14.0,82,82,2468,19.0,.000,.636,8.7,19.5,8.6,0.8,3.2,16.5,21.3,114,99,5.7,4.4,10.1,.197,1.6,2.1,3.7,3.6,Center,cartwbi01
Mychal Thompson,1982-83,28,POR,NBA,14.0,80,80,3017,15.4,.001,.388,6.8,21.3,17.8,1.1,2.1,18.9,20.1,100,103,1.5,3.9,5.4,.086,-0.3,2.3,2.0,3.1,Center,thompmy01
Steve Johnson,1982-83,25,KCK,NBA,13.9,79,21,1544,18.1,.000,.545,9.8,18.1,8.8,1.2,3.0,19.6,22.8,108,103,2.5,1.9,4.4,.137,1.0,0.3,1.3,1.3,Center,johnsst03
Len Elmore,1982-83,30,NJN,NBA,13.8,74,0,975,8.2,.004,.344,9.5,18.0,5.1,2.1,2.3,22.8,14.7,85,97,-1.0,1.9,0.9,.045,-5.0,2.1,-2.9,-0.2,Center,elmorle01
Rickey Brown,1982-83,24,TOT,NBA,13.7,76,7,1048,10.1,.009,.301,9.2,18.4,3.3,0.6,1.4,17.2,18.2,96,107,-0.1,0.8,0.7,.034,-3.8,-2.1,-5.9,-1.0,Center,brownri01
Steve Hawes,1982-83,32,TOT,NBA,13.6,77,4,1416,8.6,.054,.241,6.2,20.7,8.9,1.3,0.5,19.9,15.6,89,102,-1.0,2.0,1.0,.035,-4.0,0.9,-3.1,-0.4,Center,hawesst01
Joe Meriweather,1982-83,29,KCK,NBA,13.4,78,74,1706,12.8,.000,.360,9.5,17.4,4.8,1.2,2.8,18.4,14.5,108,103,1.8,2.1,3.8,.108,-0.8,1.1,0.3,1.0,Center,meriwjo01
Jeff Wilkins,1982-83,27,UTA,NBA,13.2,81,34,2307,11.6,.004,.245,7.0,19.0,7.9,0.8,0.9,17.1,18.5,97,105,0.1,2.3,2.4,.049,-2.6,-0.4,-3.1,-0.6,Center,wilkije01
Paul Mokeski,1982-83,26,TOT,NBA,12.9,73,19,1128,8.3,.004,.262,7.6,18.1,5.8,0.9,2.2,18.8,13.2,96,103,0.0,1.4,1.4,.060,-3.6,1.1,-2.5,-0.1,Center,mokespa01
Kareem Abdul-Jabbar,1982-83,35,LAL,NBA,12.8,79,79,2554,23.6,.002,.302,7.6,17.6,10.8,1.1,3.5,12.6,24.6,118,104,8.0,2.9,10.9,.205,3.6,0.3,3.8,3.8,Center,abdulka01
Joe Barry Carroll,1982-83,24,GSW,NBA,12.5,79,79,2988,20.1,.002,.307,7.7,17.5,8.6,1.7,2.9,14.1,26.5,105,106,4.3,2.8,7.0,.113,1.2,0.1,1.3,2.5,Center,carrojo01
Herb Williams,1982-83,24,IND,NBA,12.5,78,74,2513,17.4,.006,.189,6.2,19.5,14.8,1.0,3.8,15.4,23.3,101,107,1.7,1.8,3.5,.067,-0.4,0.7,0.3,1.5,Center,willihe01
Alvan Adams,1982-83,28,PHO,NBA,12.4,80,75,2447,16.8,.003,.221,7.6,16.7,21.8,2.2,1.7,18.4,22.0,102,98,2.0,4.5,6.5,.128,0.6,2.7,3.2,3.2,Center,adamsal01
Dan Issel,1982-83,34,DEN,NBA,12.4,80,80,2431,21.6,.015,.370,6.3,18.6,12.6,1.5,0.9,10.4,25.5,115,108,6.8,1.5,8.4,.165,2.9,-1.5,1.4,2.1,Center,isselda01
Darryl Dawkins,1982-83,26,NJN,NBA,11.3,81,81,2093,13.2,.000,.384,6.9,15.6,7.8,1.5,4.2,26.4,20.0,96,98,0.0,4.0,4.0,.092,-2.0,2.7,0.7,1.5,Center,dawkida01
Dikembe Mutombo,1994-95,28,DEN,NBA,19.9,82,82,3100,17.0,.000,.604,12.7,26.7,5.5,0.7,7.5,19.5,14.4,112,103,3.5,5.2,8.7,.135,-0.9,4.4,3.5,4.3,Center,mutomdi01
Will Perdue,1994-95,29,CHI,NBA,19.4,78,78,1592,16.3,.002,.423,15.7,23.0,8.8,0.9,2.7,17.6,18.5,111,103,2.0,2.7,4.7,.142,-0.8,1.1,0.4,0.9,Center,perduwi01
Chris Dudley,1994-95,29,POR,NBA,19.2,82,82,2245,10.9,.002,.410,15.6,23.2,2.1,1.0,4.2,13.3,11.4,102,103,0.4,3.7,4.1,.087,-3.4,2.2,-1.2,0.5,Center,dudlech02
Shaquille O'Neal,1994-95,22,ORL,NBA,17.6,79,79,2923,28.6,.003,.536,13.3,21.7,13.3,1.3,4.5,9.4,31.9,118,104,9.6,4.4,14.0,.230,4.5,0.9,5.4,5.4,Center,onealsh01
Patrick Ewing,1994-95,32,NYK,NBA,17.4,79,79,2920,21.9,.014,.386,6.6,27.5,14.4,1.2,4.1,13.1,30.7,106,98,3.1,6.5,9.6,.157,-0.7,2.9,2.2,3.1,Center,ewingpa01
Olden Polynice,1994-95,30,SAC,NBA,16.7,81,81,2534,14.7,.001,.281,13.0,20.2,4.0,1.0,1.5,12.7,15.6,114,106,3.3,3.4,6.7,.126,-0.6,0.6,0.0,1.3,Center,polynol01
Vlade Divac,1994-95,26,LAL,NBA,16.3,80,80,2807,20.5,.055,.399,10.3,22.4,18.0,2.0,4.3,15.4,20.4,114,104,5.3,4.2,9.5,.162,1.7,3.6,5.3,5.1,Center,divacvl01
Gheorghe Muresan,1994-95,23,WSB,NBA,16.3,73,58,1720,17.4,.000,.323,11.6,21.4,3.5,1.4,5.2,15.7,18.6,110,107,2.1,2.1,4.1,.116,-1.7,1.0,-0.7,0.5,Center,muresgh01
Shawn Bradley,1994-95,22,PHI,NBA,16.2,82,59,2365,14.8,.004,.335,11.9,20.7,3.7,1.2,8.5,15.2,17.7,99,104,-0.1,3.6,3.5,.071,-3.6,3.4,-0.2,1.1,Center,bradlsh01
David Robinson,1994-95,29,SAS,NBA,16.2,81,81,3074,29.1,.013,.570,9.1,22.6,13.7,2.2,5.9,11.1,29.9,120,99,10.7,6.7,17.5,.273,4.1,4.3,8.4,8.1,Center,robinda01
Hakeem Olajuwon,1994-95,32,HOU,NBA,15.6,72,72,2853,26.0,.010,.348,7.3,23.1,17.2,2.4,5.9,11.7,31.7,110,100,5.1,5.6,10.7,.181,1.3,4.0,5.3,5.3,Center,olajuha01
Joe Kleine,1994-95,33,PHO,NBA,15.4,75,42,968,9.8,.008,.185,9.7,21.1,5.6,0.7,1.4,10.9,14.4,107,110,0.6,0.8,1.4,.068,-3.3,-0.8,-4.1,-0.5,Center,kleinjo01
Alonzo Mourning,1994-95,24,CHH,NBA,15.3,77,77,2941,20.1,.031,.585,8.4,21.6,6.6,0.9,5.5,14.8,25.6,110,102,4.3,5.1,9.4,.153,-0.8,2.1,1.3,2.5,Center,mournal01
Robert Parish,1994-95,41,CHH,NBA,15.3,81,4,1352,10.1,.000,.272,8.5,21.5,5.0,1.1,1.9,13.7,16.5,95,104,-0.6,2.0,1.4,.051,-5.2,0.5,-4.7,-0.9,Center,parisro01
Rik Smits,1994-95,28,IND,NBA,15.3,78,78,2381,19.5,.002,.356,9.9,20.4,9.0,0.9,2.6,13.4,27.2,110,105,3.7,3.5,7.2,.146,0.2,0.2,0.4,1.5,Center,smitsri01
Matt Geiger,1994-95,25,MIA,NBA,14.1,74,43,1712,12.9,.021,.295,9.8,18.7,5.0,1.2,2.3,17.1,17.1,106,109,1.1,1.7,2.7,.077,-2.0,0.1,-1.8,0.1,Center,geigema01
Eric Montross,1994-95,23,BOS,NBA,14.1,78,75,2315,12.1,.002,.457,9.6,18.7,2.3,0.6,1.8,14.0,15.0,111,111,2.3,1.8,4.1,.084,-1.6,-0.6,-2.2,-0.1,Center,montrer01
Sean Rooks,1994-95,25,MIN,NBA,12.4,80,70,2405,12.6,.008,.620,8.5,16.2,6.9,0.6,2.2,15.4,17.6,107,113,1.9,1.1,3.0,.060,-2.2,-0.5,-2.7,-0.4,Center,rooksse01
Elden Campbell,1994-95,26,LAL,NBA,11.9,73,59,2076,15.4,.001,.369,8.9,14.8,6.8,1.7,4.4,9.7,21.0,105,108,1.5,2.3,3.8,.087,-2.1,1.0,-1.1,0.5,Center,campbel01
Bill Wennington,1994-95,31,CHI,NBA,11.7,73,1,956,11.6,.013,.199,7.9,15.5,6.5,1.2,1.3,10.2,17.9,110,105,1.0,1.3,2.3,.116,-2.7,-0.7,-3.3,-0.3,Center,wennibi01
Andrew Lang,1994-95,28,ATL,NBA,11.3,82,63,2340,13.1,.004,.278,7.5,15.4,5.0,1.0,4.6,12.4,16.8,106,105,1.4,3.4,4.9,.100,-3.2,2.1,-1.1,0.5,Center,langan01
Andre Drummond,2016-17,23,DET,NBA,25.3,81,81,2409,20.9,.008,.390,15.1,36.3,5.9,2.6,3.1,12.5,22.4,104,99,1.4,5.3,6.7,.133,-2.1,2.9,0.8,1.7,Center,drumman01
DeAndre Jordan,2016-17,28,LAC,NBA,24.2,81,81,2570,21.8,.003,.737,13.3,34.6,5.7,1.0,4.3,13.2,15.3,129,102,7.2,4.6,11.8,.220,1.0,3.0,4.0,3.9,Center,jordade01
Hassan Whiteside,2016-17,27,MIA,NBA,24.0,77,77,2513,22.6,.000,.368,12.8,35.3,3.8,1.1,5.0,12.0,22.7,113,100,4.2,5.2,9.4,.180,-2.0,1.5,-0.5,0.9,Center,whiteha01
Dwight Howard,2016-17,31,ATL,NBA,23.5,74,74,2199,20.8,.003,.692,15.0,31.7,7.8,1.4,3.6,17.5,19.2,115,100,3.8,4.5,8.3,.181,-0.5,2.8,2.3,2.4,Center,howardw01
Rudy Gobert,2016-17,24,UTA,NBA,21.8,81,81,2744,23.3,.002,.764,13.6,29.5,5.7,0.9,6.4,15.1,16.7,129,99,8.3,6.0,14.3,.250,1.4,4.5,5.9,5.5,Center,goberru01
Dewayne Dedmon,2016-17,27,SAS,NBA,21.1,76,37,1330,16.0,.000,.359,11.2,30.5,4.8,1.4,3.7,16.9,12.3,122,99,2.2,3.0,5.2,.188,-1.5,3.2,1.7,1.2,Center,dedmode01
Jonas Valanciunas,2016-17,24,TOR,NBA,20.8,80,80,2066,20.1,.003,.309,12.4,29.1,4.4,0.9,2.6,11.7,19.5,120,105,4.9,3.0,7.9,.183,-0.5,-0.1,-0.6,0.7,Center,valanjo01
Willy Hernangomez,2016-17,22,NYK,NBA,20.4,72,22,1324,19.0,.032,.269,13.7,27.2,11.6,1.5,2.2,16.2,20.3,111,107,1.8,1.6,3.4,.124,-0.6,0.6,0.0,0.7,Center,hernawi01
Salah Mejri,2016-17,30,DAL,NBA,19.8,73,11,905,14.8,.022,.445,11.9,28.4,2.4,1.8,6.1,19.6,10.6,121,102,1.3,1.7,3.0,.159,-3.6,3.7,0.2,0.5,Center,mejrisa01
Nikola Vucevic,2016-17,26,ORL,NBA,19.6,75,55,2163,19.1,.073,.155,8.6,31.2,16.9,1.8,2.8,9.6,24.8,103,105,0.8,3.2,4.0,.088,-1.3,2.4,1.1,1.7,Center,vucevni01
Nikola Jokic,2016-17,21,DEN,NBA,19.4,73,59,2038,26.2,.162,.266,11.6,27.0,28.7,1.4,2.1,15.2,23.5,126,109,7.7,1.9,9.6,.227,6.1,2.1,8.1,5.2,Center,jokicni01
Karl-Anthony Towns,2016-17,21,MIN,NBA,19.4,82,82,3030,26.0,.186,.289,11.2,27.8,13.2,1.0,2.9,11.3,27.5,121,110,9.9,2.8,12.7,.201,4.8,0.3,5.0,5.4,Center,townska01
Marcin Gortat,2016-17,32,WAS,NBA,18.7,82,82,2556,15.5,.003,.236,10.6,26.8,6.8,0.8,2.1,13.7,14.7,117,108,4.0,2.9,6.8,.128,-0.8,1.2,0.4,1.5,Center,gortama01
Jusuf Nurkic,2016-17,22,TOT,NBA,18.6,65,48,1391,17.4,.002,.393,12.4,24.8,13.7,1.8,4.1,18.7,23.9,101,107,0.2,1.8,1.9,.067,-2.4,2.1,-0.3,0.6,Center,nurkiju01
DeMarcus Cousins,2016-17,26,TOT,NBA,18.2,72,72,2465,25.7,.254,.468,7.1,29.2,25.8,2.0,3.3,13.5,36.5,107,105,3.8,3.8,7.6,.149,3.9,2.6,6.6,5.3,Center,couside01
JaVale McGee,2016-17,29,GSW,NBA,18.1,77,10,739,25.2,.013,.348,15.8,20.1,3.8,1.2,7.1,9.8,23.8,120,100,2.0,1.5,3.5,.225,0.2,0.6,0.8,0.5,Center,mcgeeja01
Alex Len,2016-17,23,PHO,NBA,17.8,77,34,1560,15.0,.026,.449,10.6,25.3,4.2,1.1,5.1,15.5,17.6,108,108,1.2,1.7,3.0,.091,-3.0,1.2,-1.8,0.1,Center,lenal01
Zaza Pachulia,2016-17,32,GSW,NBA,17.7,70,70,1268,16.1,.007,.410,12.9,22.0,13.6,2.2,2.0,19.5,15.3,117,101,2.2,2.5,4.7,.177,-0.3,3.0,2.7,1.5,Center,pachuza01
Cole Aldrich,2016-17,28,MIN,NBA,17.4,62,0,531,12.7,.000,.256,11.0,23.9,6.4,2.4,3.7,15.1,9.4,118,107,0.6,0.7,1.3,.116,-2.0,2.6,0.6,0.4,Center,aldrico01
Enes Kanter,2016-17,24,OKC,NBA,17.4,72,0,1533,23.7,.052,.387,14.1,20.8,7.9,1.0,2.0,12.5,27.3,116,107,4.0,1.8,5.8,.183,0.6,-1.9,-1.2,0.3,Center,kanteen01
Bismack Biyombo,2016-17,24,ORL,NBA,17.2,81,27,1793,12.2,.000,.688,9.3,25.6,6.0,0.7,4.1,17.7,13.2,105,108,0.8,2.1,2.9,.076,-4.2,2.0,-2.2,-0.1,Center,biyombi01
Tarik Black,2016-17,25,LAL,NBA,17.1,67,16,1091,15.1,.007,.372,13.8,20.7,5.3,1.3,3.3,14.5,15.6,114,111,1.5,0.9,2.4,.106,-1.8,0.2,-1.6,0.1,Center,blackta01
Greg Monroe,2016-17,26,MIL,NBA,17.0,81,0,1823,21.1,.006,.329,10.7,23.1,17.3,2.6,1.8,14.4,24.3,111,105,2.9,2.6,5.5,.146,0.5,1.5,2.0,1.8,Center,monrogr01
Al Jefferson,2016-17,32,IND,NBA,16.8,66,1,931,18.9,.002,.180,9.2,24.2,11.0,1.0,1.5,6.1,26.1,109,108,1.2,1.1,2.3,.119,-1.5,-1.5,-3.1,-0.3,Center,jeffeal01
Kosta Koufos,2016-17,27,SAC,NBA,16.4,71,62,1419,13.8,.003,.158,9.7,22.9,5.3,1.3,3.1,12.7,15.3,109,109,1.2,1.4,2.6,.089,-2.6,0.7,-1.9,0.0,Center,koufoko01
Marreese Speights,2016-17,29,LAC,NBA,16.2,82,2,1286,17.6,.505,.250,7.9,24.1,8.1,0.9,2.6,10.2,23.6,114,106,2.5,1.7,4.2,.156,1.5,-0.8,0.7,0.9,Center,speigma01
Aron Baynes,2016-17,30,DET,NBA,15.6,75,2,1163,13.1,.000,.337,10.0,21.6,3.9,0.7,2.8,13.5,14.1,114,106,1.4,1.5,3.0,.123,-2.9,1.1,-1.8,0.1,Center,baynear01
Mason Plumlee,2016-17,26,TOT,NBA,15.6,81,64,2148,18.1,.010,.482,8.8,22.5,19.8,1.6,3.4,15.2,18.1,114,108,3.6,2.5,6.0,.134,0.0,2.6,2.6,2.5,Center,plumlma01
John Henson,2016-17,26,MIL,NBA,15.3,58,39,1123,15.2,.003,.345,9.7,20.8,7.7,1.3,6.1,12.9,16.7,110,106,1.1,1.6,2.7,.114,-2.6,2.4,-0.1,0.5,Center,hensojo01
Steven Adams,2016-17,23,OKC,NBA,14.2,80,80,2389,16.4,.003,.392,13.0,15.4,5.4,1.8,2.6,16.0,16.3,114,107,3.3,3.1,6.4,.129,-0.7,1.2,0.5,1.5,Center,adamsst01
Gorgui Dieng,2016-17,27,MIN,NBA,14.2,82,82,2653,14.2,.065,.253,8.1,20.5,8.6,1.7,3.1,12.7,14.0,114,110,3.2,2.5,5.7,.103,-0.5,2.2,1.7,2.5,Center,dienggo01
Joffrey Lauvergne,2016-17,25,TOT,NBA,14.1,70,1,980,12.6,.292,.217,8.0,20.1,10.8,1.3,0.5,13.2,18.5,104,108,0.4,1.1,1.5,.075,-2.3,-0.9,-3.2,-0.3,Center,lauvejo01
Kelly Olynyk,2016-17,25,BOS,NBA,13.0,75,6,1538,15.2,.378,.242,5.3,20.7,15.2,1.4,1.5,14.6,19.0,113,107,2.2,1.9,4.1,.127,0.1,0.5,0.7,1.0,Center,olynyke01
Robin Lopez,2016-17,28,CHI,NBA,12.3,81,81,2271,14.4,.003,.134,11.5,13.2,5.6,0.4,4.1,9.9,17.5,108,108,1.9,2.4,4.3,.091,-1.9,1.0,-0.9,0.6,Center,lopezro01
Justin Hamilton,2016-17,26,BRK,NBA,11.8,64,7,1177,13.6,.478,.137,6.5,17.0,7.3,1.2,2.8,9.7,16.2,109,110,1.0,1.0,2.1,.084,-0.9,0.2,-0.8,0.4,Center,hamilju01
Al Horford,2016-17,30,BOS,NBA,11.8,68,68,2193,17.7,.302,.169,4.9,18.6,24.4,1.2,3.3,11.8,19.7,114,107,3.6,2.7,6.3,.138,1.0,2.1,3.1,2.9,Center,horfoal01
Channing Frye,2016-17,33,CLE,NBA,11.5,74,15,1398,15.6,.644,.142,3.0,19.4,4.9,1.2,2.1,8.8,19.3,115,109,2.3,1.4,3.7,.126,0.8,-1.4,-0.6,0.5,Center,fryech01
Meyers Leonard,2016-17,24,POR,NBA,10.7,74,12,1222,8.9,.563,.106,2.4,19.0,8.4,0.5,1.8,8.1,15.5,105,112,0.5,0.8,1.4,.053,-2.1,-1.3,-3.4,-0.4,Center,leoname01
Marc Gasol,2016-17,32,MEM,NBA,10.4,74,74,2531,20.3,.231,.286,2.6,18.7,24.8,1.4,3.8,11.3,26.4,111,106,4.2,3.5,7.7,.145,2.0,2.2,4.3,4.0,Center,gasolma01
Brook Lopez,2016-17,28,BRK,NBA,9.6,75,75,2222,20.4,.330,.311,5.8,13.3,14.8,0.8,4.2,12.1,29.2,108,111,3.1,1.8,4.9,.105,1.9,-0.4,1.5,2.0,Center,lopezbr01
