Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
29,John Henson\hensojo01,2016-17,26,MIL,NBA,15.3,58,39,1123,15.2,.003,.345,9.7,20.8,7.7,1.3,6.1,12.9,16.7,110,106,1.1,1.6,2.7,.114,-2.6,2.4,-0.1,0.5
30,Steven Adams\adamsst01,2016-17,23,OKC,NBA,14.2,80,80,2389,16.4,.003,.392,13.0,15.4,5.4,1.8,2.6,16.0,16.3,114,107,3.3,3.1,6.4,.129,-0.7,1.2,0.5,1.5
31,Gorgui Dieng\dienggo01,2016-17,27,MIN,NBA,14.2,82,82,2653,14.2,.065,.253,8.1,20.5,8.6,1.7,3.1,12.7,14.0,114,110,3.2,2.5,5.7,.103,-0.5,2.2,1.7,2.5
32,Joffrey Lauvergne\lauvejo01,2016-17,25,TOT,NBA,14.1,70,1,980,12.6,.292,.217,8.0,20.1,10.8,1.3,0.5,13.2,18.5,104,108,0.4,1.1,1.5,.075,-2.3,-0.9,-3.2,-0.3
33,Kelly Olynyk\olynyke01,2016-17,25,BOS,NBA,13.0,75,6,1538,15.2,.378,.242,5.3,20.7,15.2,1.4,1.5,14.6,19.0,113,107,2.2,1.9,4.1,.127,0.1,0.5,0.7,1.0
34,Robin Lopez\lopezro01,2016-17,28,CHI,NBA,12.3,81,81,2271,14.4,.003,.134,11.5,13.2,5.6,0.4,4.1,9.9,17.5,108,108,1.9,2.4,4.3,.091,-1.9,1.0,-0.9,0.6
35,Justin Hamilton\hamilju01,2016-17,26,BRK,NBA,11.8,64,7,1177,13.6,.478,.137,6.5,17.0,7.3,1.2,2.8,9.7,16.2,109,110,1.0,1.0,2.1,.084,-0.9,0.2,-0.8,0.4
36,Al Horford\horfoal01,2016-17,30,BOS,NBA,11.8,68,68,2193,17.7,.302,.169,4.9,18.6,24.4,1.2,3.3,11.8,19.7,114,107,3.6,2.7,6.3,.138,1.0,2.1,3.1,2.9
37,Channing Frye\fryech01,2016-17,33,CLE,NBA,11.5,74,15,1398,15.6,.644,.142,3.0,19.4,4.9,1.2,2.1,8.8,19.3,115,109,2.3,1.4,3.7,.126,0.8,-1.4,-0.6,0.5
38,Meyers Leonard\leoname01,2016-17,24,POR,NBA,10.7,74,12,1222,8.9,.563,.106,2.4,19.0,8.4,0.5,1.8,8.1,15.5,105,112,0.5,0.8,1.4,.053,-2.1,-1.3,-3.4,-0.4
39,Marc Gasol\gasolma01,2016-17,32,MEM,NBA,10.4,74,74,2531,20.3,.231,.286,2.6,18.7,24.8,1.4,3.8,11.3,26.4,111,106,4.2,3.5,7.7,.145,2.0,2.2,4.3,4.0
40,Brook Lopez\lopezbr01,2016-17,28,BRK,NBA,9.6,75,75,2222,20.4,.330,.311,5.8,13.3,14.8,0.8,4.2,12.1,29.2,108,111,3.1,1.8,4.9,.105,1.9,-0.4,1.5,2.0
