Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Andre Drummond\drumman01,2016-17,23,DET,NBA,25.3,81,81,2409,20.9,.008,.390,15.1,36.3,5.9,2.6,3.1,12.5,22.4,104,99,1.4,5.3,6.7,.133,-2.1,2.9,0.8,1.7
2,DeAndre Jordan\jordade01,2016-17,28,LAC,NBA,24.2,81,81,2570,21.8,.003,.737,13.3,34.6,5.7,1.0,4.3,13.2,15.3,129,102,7.2,4.6,11.8,.220,1.0,3.0,4.0,3.9
3,Hassan Whiteside\whiteha01,2016-17,27,MIA,NBA,24.0,77,77,2513,22.6,.000,.368,12.8,35.3,3.8,1.1,5.0,12.0,22.7,113,100,4.2,5.2,9.4,.180,-2.0,1.5,-0.5,0.9
4,Dwight Howard\howardw01,2016-17,31,ATL,NBA,23.5,74,74,2199,20.8,.003,.692,15.0,31.7,7.8,1.4,3.6,17.5,19.2,115,100,3.8,4.5,8.3,.181,-0.5,2.8,2.3,2.4
5,Rudy Gobert\goberru01,2016-17,24,UTA,NBA,21.8,81,81,2744,23.3,.002,.764,13.6,29.5,5.7,0.9,6.4,15.1,16.7,129,99,8.3,6.0,14.3,.250,1.4,4.5,5.9,5.5
6,Dewayne Dedmon\dedmode01,2016-17,27,SAS,NBA,21.1,76,37,1330,16.0,.000,.359,11.2,30.5,4.8,1.4,3.7,16.9,12.3,122,99,2.2,3.0,5.2,.188,-1.5,3.2,1.7,1.2
7,Jonas Valanciunas\valanjo01,2016-17,24,TOR,NBA,20.8,80,80,2066,20.1,.003,.309,12.4,29.1,4.4,0.9,2.6,11.7,19.5,120,105,4.9,3.0,7.9,.183,-0.5,-0.1,-0.6,0.7
8,Willy Hernangomez\hernawi01,2016-17,22,NYK,NBA,20.4,72,22,1324,19.0,.032,.269,13.7,27.2,11.6,1.5,2.2,16.2,20.3,111,107,1.8,1.6,3.4,.124,-0.6,0.6,0.0,0.7
9,Salah Mejri\mejrisa01,2016-17,30,DAL,NBA,19.8,73,11,905,14.8,.022,.445,11.9,28.4,2.4,1.8,6.1,19.6,10.6,121,102,1.3,1.7,3.0,.159,-3.6,3.7,0.2,0.5
10,Nikola Vucevic\vucevni01,2016-17,26,ORL,NBA,19.6,75,55,2163,19.1,.073,.155,8.6,31.2,16.9,1.8,2.8,9.6,24.8,103,105,0.8,3.2,4.0,.088,-1.3,2.4,1.1,1.7
11,Nikola Jokic\jokicni01,2016-17,21,DEN,NBA,19.4,73,59,2038,26.2,.162,.266,11.6,27.0,28.7,1.4,2.1,15.2,23.5,126,109,7.7,1.9,9.6,.227,6.1,2.1,8.1,5.2
12,Karl-Anthony Towns\townska01,2016-17,21,MIN,NBA,19.4,82,82,3030,26.0,.186,.289,11.2,27.8,13.2,1.0,2.9,11.3,27.5,121,110,9.9,2.8,12.7,.201,4.8,0.3,5.0,5.4
13,Marcin Gortat\gortama01,2016-17,32,WAS,NBA,18.7,82,82,2556,15.5,.003,.236,10.6,26.8,6.8,0.8,2.1,13.7,14.7,117,108,4.0,2.9,6.8,.128,-0.8,1.2,0.4,1.5
14,Jusuf Nurkic\nurkiju01,2016-17,22,TOT,NBA,18.6,65,48,1391,17.4,.002,.393,12.4,24.8,13.7,1.8,4.1,18.7,23.9,101,107,0.2,1.8,1.9,.067,-2.4,2.1,-0.3,0.6
15,DeMarcus Cousins\couside01,2016-17,26,TOT,NBA,18.2,72,72,2465,25.7,.254,.468,7.1,29.2,25.8,2.0,3.3,13.5,36.5,107,105,3.8,3.8,7.6,.149,3.9,2.6,6.6,5.3
16,JaVale McGee\mcgeeja01,2016-17,29,GSW,NBA,18.1,77,10,739,25.2,.013,.348,15.8,20.1,3.8,1.2,7.1,9.8,23.8,120,100,2.0,1.5,3.5,.225,0.2,0.6,0.8,0.5
17,Alex Len\lenal01,2016-17,23,PHO,NBA,17.8,77,34,1560,15.0,.026,.449,10.6,25.3,4.2,1.1,5.1,15.5,17.6,108,108,1.2,1.7,3.0,.091,-3.0,1.2,-1.8,0.1
18,Zaza Pachulia\pachuza01,2016-17,32,GSW,NBA,17.7,70,70,1268,16.1,.007,.410,12.9,22.0,13.6,2.2,2.0,19.5,15.3,117,101,2.2,2.5,4.7,.177,-0.3,3.0,2.7,1.5
19,Cole Aldrich\aldrico01,2016-17,28,MIN,NBA,17.4,62,0,531,12.7,.000,.256,11.0,23.9,6.4,2.4,3.7,15.1,9.4,118,107,0.6,0.7,1.3,.116,-2.0,2.6,0.6,0.4
20,Enes Kanter\kanteen01,2016-17,24,OKC,NBA,17.4,72,0,1533,23.7,.052,.387,14.1,20.8,7.9,1.0,2.0,12.5,27.3,116,107,4.0,1.8,5.8,.183,0.6,-1.9,-1.2,0.3
21,Bismack Biyombo\biyombi01,2016-17,24,ORL,NBA,17.2,81,27,1793,12.2,.000,.688,9.3,25.6,6.0,0.7,4.1,17.7,13.2,105,108,0.8,2.1,2.9,.076,-4.2,2.0,-2.2,-0.1
22,Tarik Black\blackta01,2016-17,25,LAL,NBA,17.1,67,16,1091,15.1,.007,.372,13.8,20.7,5.3,1.3,3.3,14.5,15.6,114,111,1.5,0.9,2.4,.106,-1.8,0.2,-1.6,0.1
23,Greg Monroe\monrogr01,2016-17,26,MIL,NBA,17.0,81,0,1823,21.1,.006,.329,10.7,23.1,17.3,2.6,1.8,14.4,24.3,111,105,2.9,2.6,5.5,.146,0.5,1.5,2.0,1.8
24,Al Jefferson\jeffeal01,2016-17,32,IND,NBA,16.8,66,1,931,18.9,.002,.180,9.2,24.2,11.0,1.0,1.5,6.1,26.1,109,108,1.2,1.1,2.3,.119,-1.5,-1.5,-3.1,-0.3
25,Kosta Koufos\koufoko01,2016-17,27,SAC,NBA,16.4,71,62,1419,13.8,.003,.158,9.7,22.9,5.3,1.3,3.1,12.7,15.3,109,109,1.2,1.4,2.6,.089,-2.6,0.7,-1.9,0.0
26,Marreese Speights\speigma01,2016-17,29,LAC,NBA,16.2,82,2,1286,17.6,.505,.250,7.9,24.1,8.1,0.9,2.6,10.2,23.6,114,106,2.5,1.7,4.2,.156,1.5,-0.8,0.7,0.9
27,Aron Baynes\baynear01,2016-17,30,DET,NBA,15.6,75,2,1163,13.1,.000,.337,10.0,21.6,3.9,0.7,2.8,13.5,14.1,114,106,1.4,1.5,3.0,.123,-2.9,1.1,-1.8,0.1
28,Mason Plumlee\plumlma01,2016-17,26,TOT,NBA,15.6,81,64,2148,18.1,.010,.482,8.8,22.5,19.8,1.6,3.4,15.2,18.1,114,108,3.6,2.5,6.0,.134,0.0,2.6,2.6,2.5
