Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Dikembe Mutombo\mutomdi01,1994-95,28,DEN,NBA,19.9,82,82,3100,17.0,.000,.604,12.7,26.7,5.5,0.7,7.5,19.5,14.4,112,103,3.5,5.2,8.7,.135,-0.9,4.4,3.5,4.3
2,Will Perdue\perduwi01,1994-95,29,CHI,NBA,19.4,78,78,1592,16.3,.002,.423,15.7,23.0,8.8,0.9,2.7,17.6,18.5,111,103,2.0,2.7,4.7,.142,-0.8,1.1,0.4,0.9
3,Chris Dudley\dudlech02,1994-95,29,POR,NBA,19.2,82,82,2245,10.9,.002,.410,15.6,23.2,2.1,1.0,4.2,13.3,11.4,102,103,0.4,3.7,4.1,.087,-3.4,2.2,-1.2,0.5
4,Shaquille O'Neal\onealsh01,1994-95,22,ORL,NBA,17.6,79,79,2923,28.6,.003,.536,13.3,21.7,13.3,1.3,4.5,9.4,31.9,118,104,9.6,4.4,14.0,.230,4.5,0.9,5.4,5.4
5,Patrick Ewing\ewingpa01,1994-95,32,NYK,NBA,17.4,79,79,2920,21.9,.014,.386,6.6,27.5,14.4,1.2,4.1,13.1,30.7,106,98,3.1,6.5,9.6,.157,-0.7,2.9,2.2,3.1
6,Olden Polynice\polynol01,1994-95,30,SAC,NBA,16.7,81,81,2534,14.7,.001,.281,13.0,20.2,4.0,1.0,1.5,12.7,15.6,114,106,3.3,3.4,6.7,.126,-0.6,0.6,0.0,1.3
7,Vlade Divac\divacvl01,1994-95,26,LAL,NBA,16.3,80,80,2807,20.5,.055,.399,10.3,22.4,18.0,2.0,4.3,15.4,20.4,114,104,5.3,4.2,9.5,.162,1.7,3.6,5.3,5.1
8,Gheorghe Muresan\muresgh01,1994-95,23,WSB,NBA,16.3,73,58,1720,17.4,.000,.323,11.6,21.4,3.5,1.4,5.2,15.7,18.6,110,107,2.1,2.1,4.1,.116,-1.7,1.0,-0.7,0.5
9,Shawn Bradley\bradlsh01,1994-95,22,PHI,NBA,16.2,82,59,2365,14.8,.004,.335,11.9,20.7,3.7,1.2,8.5,15.2,17.7,99,104,-0.1,3.6,3.5,.071,-3.6,3.4,-0.2,1.1
10,David Robinson\robinda01,1994-95,29,SAS,NBA,16.2,81,81,3074,29.1,.013,.570,9.1,22.6,13.7,2.2,5.9,11.1,29.9,120,99,10.7,6.7,17.5,.273,4.1,4.3,8.4,8.1
11,Hakeem Olajuwon\olajuha01,1994-95,32,HOU,NBA,15.6,72,72,2853,26.0,.010,.348,7.3,23.1,17.2,2.4,5.9,11.7,31.7,110,100,5.1,5.6,10.7,.181,1.3,4.0,5.3,5.3
12,Joe Kleine\kleinjo01,1994-95,33,PHO,NBA,15.4,75,42,968,9.8,.008,.185,9.7,21.1,5.6,0.7,1.4,10.9,14.4,107,110,0.6,0.8,1.4,.068,-3.3,-0.8,-4.1,-0.5
13,Alonzo Mourning\mournal01,1994-95,24,CHH,NBA,15.3,77,77,2941,20.1,.031,.585,8.4,21.6,6.6,0.9,5.5,14.8,25.6,110,102,4.3,5.1,9.4,.153,-0.8,2.1,1.3,2.5
14,Robert Parish\parisro01,1994-95,41,CHH,NBA,15.3,81,4,1352,10.1,.000,.272,8.5,21.5,5.0,1.1,1.9,13.7,16.5,95,104,-0.6,2.0,1.4,.051,-5.2,0.5,-4.7,-0.9
15,Rik Smits\smitsri01,1994-95,28,IND,NBA,15.3,78,78,2381,19.5,.002,.356,9.9,20.4,9.0,0.9,2.6,13.4,27.2,110,105,3.7,3.5,7.2,.146,0.2,0.2,0.4,1.5
16,Matt Geiger\geigema01,1994-95,25,MIA,NBA,14.1,74,43,1712,12.9,.021,.295,9.8,18.7,5.0,1.2,2.3,17.1,17.1,106,109,1.1,1.7,2.7,.077,-2.0,0.1,-1.8,0.1
17,Eric Montross\montrer01,1994-95,23,BOS,NBA,14.1,78,75,2315,12.1,.002,.457,9.6,18.7,2.3,0.6,1.8,14.0,15.0,111,111,2.3,1.8,4.1,.084,-1.6,-0.6,-2.2,-0.1
18,Sean Rooks\rooksse01,1994-95,25,MIN,NBA,12.4,80,70,2405,12.6,.008,.620,8.5,16.2,6.9,0.6,2.2,15.4,17.6,107,113,1.9,1.1,3.0,.060,-2.2,-0.5,-2.7,-0.4
19,Elden Campbell\campbel01,1994-95,26,LAL,NBA,11.9,73,59,2076,15.4,.001,.369,8.9,14.8,6.8,1.7,4.4,9.7,21.0,105,108,1.5,2.3,3.8,.087,-2.1,1.0,-1.1,0.5
20,Bill Wennington\wennibi01,1994-95,31,CHI,NBA,11.7,73,1,956,11.6,.013,.199,7.9,15.5,6.5,1.2,1.3,10.2,17.9,110,105,1.0,1.3,2.3,.116,-2.7,-0.7,-3.3,-0.3
21,Andrew Lang\langan01,1994-95,28,ATL,NBA,11.3,82,63,2340,13.1,.004,.278,7.5,15.4,5.0,1.0,4.6,12.4,16.8,106,105,1.4,3.4,4.9,.100,-3.2,2.1,-1.1,0.5
