Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Magic Johnson\johnsma02,1982-83,23,LAL,NBA,13.0,79,79,2907,23.0,.023,.407,8.5,17.1,34.4,2.8,0.9,21.5,19.0,119,103,8.8,3.8,12.5,.207,5.1,2.3,7.4,6.9
2,T.R. Dunn\dunntr01,1982-83,27,DEN,NBA,11.8,82,80,2640,11.4,.002,.309,8.8,14.7,7.9,2.4,0.5,15.9,10.0,111,108,2.6,1.8,4.4,.079,0.5,1.6,2.1,2.8
3,Lewis Lloyd\lloydle01,1982-83,23,GSW,NBA,10.4,73,24,1350,17.1,.007,.246,6.0,15.2,13.8,2.1,1.3,15.8,21.7,105,106,1.5,1.1,2.6,.092,0.1,-0.3,-0.2,0.6
4,Paul Pressey\presspa01,1982-83,24,MIL,NBA,10.1,79,18,1528,12.8,.019,.378,6.3,13.6,18.3,3.1,1.7,23.0,19.1,92,98,-0.9,2.8,2.0,.062,-2.1,2.8,0.7,1.0
5,Sidney Moncrief\moncrsi01,1982-83,25,MIL,NBA,8.9,76,76,2710,22.6,.009,.522,8.2,9.5,16.9,2.0,0.5,12.2,24.7,120,103,9.7,3.5,13.2,.233,5.4,0.3,5.7,5.3
6,Lester Conner\connele01,1982-83,23,GSW,NBA,8.4,75,10,1416,14.0,.013,.373,5.1,12.0,21.9,3.8,0.3,21.9,12.5,106,105,1.2,1.5,2.7,.092,-0.3,1.6,1.3,1.2
7,Bob Wilkerson\wilkebo01,1982-83,28,CLE,NBA,8.1,77,11,1702,9.2,.008,.243,4.0,12.3,15.9,2.0,0.5,22.1,17.9,87,107,-1.7,1.4,-0.3,-.010,-3.7,0.5,-3.2,-0.5
8,Ray Williams\willira01,1982-83,28,KCK,NBA,8.1,72,68,2170,14.4,.069,.312,4.6,11.7,35.1,2.5,0.7,21.6,27.5,93,104,-1.5,2.4,0.9,.021,-0.8,0.4,-0.4,0.9
9,Bill Hanzlik\hanzlbi01,1982-83,25,DEN,NBA,7.7,82,8,1547,10.6,.016,.366,5.2,10.2,19.7,2.1,0.5,22.1,15.6,98,109,0.3,0.7,1.0,.030,-1.5,-0.6,-2.1,-0.1
10,Billy Knight\knighbi01,1982-83,30,IND,NBA,7.7,80,54,2262,18.7,.019,.415,6.9,8.6,12.0,1.3,0.2,14.2,23.6,114,112,5.5,0.3,5.8,.123,2.5,-2.7,-0.2,1.0
11,Clint Richardson\richacl01,1982-83,26,PHI,NBA,7.4,77,1,1755,11.4,.011,.199,6.2,8.6,12.6,1.9,0.6,14.0,16.0,103,103,1.1,2.2,3.3,.090,-0.6,0.9,0.4,1.0
12,Al Wood\woodal01,1982-83,24,SDC,NBA,7.4,76,47,1822,13.0,.068,.218,5.6,9.5,10.1,1.4,1.2,12.0,19.7,105,111,1.9,0.4,2.3,.061,-0.5,-2.0,-2.4,-0.2
13,Tracy Jackson\jackstr01,1982-83,23,CHI,NBA,7.3,78,3,1309,11.9,.031,.296,7.1,7.5,10.9,2.2,0.4,14.7,16.7,104,109,1.0,0.7,1.7,.062,-0.8,-0.9,-1.7,0.1
14,Vinnie Johnson\johnsvi01,1982-83,26,DET,NBA,7.3,82,51,2511,17.6,.039,.311,6.8,7.9,17.0,1.7,1.0,11.7,20.0,116,107,5.9,1.8,7.7,.147,2.8,-0.7,2.1,2.6
15,Johnny High\highjo01,1982-83,25,PHO,NBA,7.2,82,2,1155,8.6,.023,.627,4.5,9.6,16.3,3.5,1.6,27.7,13.5,87,98,-1.0,2.2,1.2,.051,-3.5,3.0,-0.5,0.4
16,Dennis Johnson\johnsde01,1982-83,28,PHO,NBA,7.2,77,74,2551,14.8,.036,.429,4.2,10.1,20.4,1.8,0.9,16.6,19.6,106,102,3.0,3.6,6.6,.125,0.2,0.9,1.1,2.0
17,Michael Cooper\coopemi01,1982-83,26,LAL,NBA,7.1,82,3,2148,13.5,.042,.262,4.4,9.5,16.7,2.5,1.2,18.8,12.5,114,105,3.1,2.1,5.2,.116,0.8,1.2,2.0,2.2
18,George Gervin\gervige01,1982-83,30,SAS,NBA,6.9,78,78,2830,20.5,.021,.390,4.4,9.1,14.0,1.4,1.3,12.0,29.1,112,108,7.6,1.8,9.4,.159,2.7,-1.6,1.1,2.2
19,Trent Tucker\tucketr01,1982-83,23,NYK,NBA,6.9,78,59,1830,11.6,.046,.099,4.8,9.1,16.1,1.5,0.2,9.4,17.3,104,102,1.5,2.4,4.0,.104,-0.3,0.5,0.2,1.0
20,Rolando Blackman\blackro01,1982-83,23,DAL,NBA,6.7,75,62,2349,17.0,.014,.366,4.9,8.6,11.1,0.7,0.7,8.9,22.3,114,113,5.5,0.1,5.7,.116,2.0,-2.6,-0.6,0.8
21,Quintin Dailey\dailequ01,1982-83,22,CHI,NBA,6.7,76,32,2081,14.1,.025,.280,4.5,8.9,20.3,1.6,0.3,15.3,24.8,100,110,1.3,0.9,2.1,.049,0.0,-2.0,-2.0,0.0
22,Ernie Grunfeld\grunfer01,1982-83,27,NYK,NBA,6.7,77,0,1422,8.9,.011,.260,3.4,10.1,13.5,1.4,0.4,16.7,15.1,98,102,0.2,1.9,2.2,.073,-2.6,0.9,-1.8,0.1
23,David Thompson\thompda01,1982-83,28,SEA,NBA,6.7,75,64,2155,16.1,.011,.411,5.0,8.2,14.7,1.0,0.8,13.0,23.3,108,106,3.6,1.8,5.4,.120,0.8,-1.0,-0.2,1.0
24,Quinn Buckner\bucknqu01,1982-83,28,BOS,NBA,6.4,72,56,1565,11.5,.007,.209,4.3,8.5,22.6,3.2,0.2,20.6,19.3,93,102,-0.7,2.2,1.6,.048,-1.8,0.8,-0.9,0.4
25,John Long\longjo01,1982-83,26,DET,NBA,6.3,70,30,1485,10.8,.010,.211,3.8,8.9,10.1,1.3,0.4,16.0,23.4,93,108,-0.7,0.9,0.2,.005,-3.3,-2.4,-5.7,-1.4
26,Fat Lever\leverfa01,1982-83,22,POR,NBA,6.2,81,45,2020,14.8,.025,.268,4.7,7.8,28.2,3.6,0.4,17.1,16.1,104,103,1.7,2.6,4.4,.104,0.3,1.0,1.2,1.7
27,Sleepy Floyd\floydsl01,1982-83,22,TOT,NBA,6.0,76,17,1248,13.8,.047,.342,4.8,7.3,15.3,2.1,0.8,14.9,22.4,103,106,1.0,1.1,2.2,.083,-0.9,-1.3,-2.2,-0.1
28,Johnny Moore\moorejo01,1982-83,24,SAS,NBA,5.9,77,73,2552,17.5,.026,.237,2.9,8.7,37.8,3.5,0.7,19.6,18.0,108,104,3.8,2.8,6.6,.123,1.6,0.4,1.9,2.5
