Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Dennis Rodman\rodmade01,1994-95,33,SAS,NBA,29.7,49,26,1568,16.6,.008,.463,20.8,37.8,8.5,1.0,1.0,25.3,10.9,120,100,2.6,3.2,5.8,.178,0.7,3.1,3.8,2.3
2,Jayson Williams\willija01,1994-95,26,NJN,NBA,23.7,75,6,982,16.2,.015,.378,19.9,27.5,6.1,1.4,2.3,13.5,19.5,104,104,0.5,1.6,2.1,.102,-2.3,-0.1,-2.5,-0.1
3,Tyrone Hill\hillty01,1994-95,26,CLE,NBA,19.9,70,67,2397,16.8,.001,.572,13.6,26.7,4.2,1.3,1.4,14.8,20.4,109,102,2.7,4.2,6.9,.138,-1.5,0.4,-1.1,0.5
4,Shawn Kemp\kempsh01,1994-95,25,SEA,NBA,19.8,82,79,2679,21.7,.007,.587,14.4,25.0,8.8,1.9,3.5,17.1,24.4,115,102,5.9,4.7,10.6,.190,1.4,1.8,3.1,3.5
5,Popeye Jones\jonespo01,1994-95,24,DAL,NBA,19.1,80,80,2385,13.8,.014,.148,14.1,24.7,10.5,0.7,0.8,12.2,17.6,105,109,1.5,2.2,3.6,.073,-1.5,0.3,-1.2,0.5
6,Dale Davis\davisda01,1994-95,25,IND,NBA,17.9,74,70,2346,16.1,.002,.450,13.6,22.1,4.0,1.6,3.8,15.2,15.9,111,102,2.6,4.3,6.8,.140,-0.4,2.6,2.3,2.5
7,Karl Malone\malonka01,1994-95,31,UTA,NBA,17.4,82,82,3126,25.1,.026,.449,6.6,27.2,16.4,2.1,2.2,11.3,30.3,115,101,8.1,5.8,13.8,.212,3.2,2.6,5.8,6.1
8,Michael Cage\cagemi01,1994-95,33,CLE,NBA,17.3,82,21,2040,13.5,.006,.259,12.1,22.8,4.5,1.7,2.6,12.9,10.2,115,102,2.1,3.7,5.8,.137,-2.0,3.1,1.1,1.6
9,Terry Cummings\cummite01,1994-95,33,SAS,NBA,16.8,76,20,1273,13.3,.000,.265,12.9,20.4,7.3,1.4,1.0,15.5,21.2,100,104,0.1,1.9,2.0,.076,-2.7,0.1,-2.6,-0.2
10,Michael Smith\smithmi02,1994-95,22,SAC,NBA,16.3,82,0,1736,13.5,.005,.645,11.9,20.6,6.1,1.8,2.1,16.9,16.1,105,103,0.9,2.8,3.7,.101,-1.9,1.8,-0.1,0.8
11,Adam Keefe\keefead01,1994-95,24,UTA,NBA,16.1,75,0,1270,15.1,.000,.581,14.0,18.0,3.5,1.5,1.6,14.2,15.6,120,106,2.4,1.7,4.1,.154,0.6,0.2,0.8,0.9
12,Derek Strong\stronde01,1994-95,26,BOS,NBA,16.1,70,24,1344,12.5,.021,.523,11.5,20.8,4.7,0.9,0.7,16.3,15.6,110,110,1.4,1.1,2.4,.086,-1.9,-0.9,-2.7,-0.2
