Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
105,C.J. Watson\watsocj01,2016-17,32,ORL,NBA,4.8,62,9,1012,9.3,.423,.266,1.7,8.1,16.3,2.1,0.2,14.5,14.1,103,112,0.2,0.6,0.9,.041,-2.5,-1.1,-3.6,-0.4
106,Nick Young\youngni01,2016-17,31,LAL,NBA,4.8,60,60,1556,14.1,.665,.142,1.7,8.2,5.8,1.2,0.7,5.1,19.5,118,116,3.0,0.2,3.2,.098,2.6,-3.4,-0.7,0.5
107,Eric Gordon\gordoer01,2016-17,28,HOU,NBA,4.7,75,15,2323,13.2,.651,.172,1.4,8.1,12.3,1.0,1.4,10.0,22.1,109,113,2.5,1.4,3.8,.079,1.0,-2.4,-1.4,0.4
108,Arron Afflalo\afflaar01,2016-17,31,SAC,NBA,4.6,61,45,1580,9.0,.360,.221,0.7,8.4,7.4,0.7,0.4,8.4,14.4,109,116,1.2,0.2,1.4,.043,-1.4,-2.0,-3.5,-0.6
109,Patty Mills\millspa02,2016-17,28,SAS,NBA,4.6,80,8,1754,15.2,.572,.129,1.6,7.4,24.3,1.9,0.1,13.3,19.5,114,107,2.8,2.2,5.1,.139,2.5,-1.2,1.3,1.5
110,Tyler Ulis\ulisty01,2016-17,21,PHO,NBA,4.6,61,15,1123,13.0,.181,.162,1.9,7.5,30.5,2.0,0.4,14.1,20.3,102,114,0.3,0.4,0.7,.029,-1.4,-2.5,-4.0,-0.6
111,Alex Abrines\abrinal01,2016-17,23,OKC,NBA,4.5,68,6,1055,10.1,.724,.144,1.9,7.1,5.5,1.7,0.6,8.3,15.9,113,110,1.2,0.9,2.1,.095,-0.3,-2.2,-2.5,-0.1
112,Jason Terry\terryja01,2016-17,39,MIL,NBA,4.5,74,0,1365,9.0,.704,.119,1.3,7.7,9.9,1.7,1.3,12.3,9.8,116,112,1.2,0.9,2.1,.075,-0.5,-0.6,-1.1,0.3
113,Matthew Dellavedova\dellama01,2016-17,26,MIL,NBA,4.4,76,54,1986,9.4,.404,.180,1.4,7.3,25.7,1.4,0.0,18.8,16.3,102,114,0.3,0.9,1.2,.029,-1.9,-2.8,-4.7,-1.3
114,E'Twaun Moore\mooreet01,2016-17,27,NOP,NBA,4.4,73,22,1820,12.1,.336,.120,2.0,6.9,13.8,1.3,1.4,8.7,17.4,107,111,1.2,1.5,2.7,.070,-0.8,-0.5,-1.3,0.3
115,Austin Rivers\riverau01,2016-17,24,LAC,NBA,4.4,74,29,2054,11.4,.409,.261,1.1,7.5,15.0,1.2,0.4,12.4,20.3,105,112,1.2,1.3,2.5,.059,-0.1,-1.5,-1.6,0.2
116,Isaiah Thomas\thomais02,2016-17,27,BOS,NBA,4.4,76,76,2569,26.5,.439,.441,1.9,7.0,32.5,1.3,0.4,10.7,34.0,122,112,10.9,1.6,12.5,.234,8.7,-3.4,5.3,4.8
117,Aaron Brooks\brookaa01,2016-17,32,IND,NBA,4.3,65,0,894,9.5,.427,.133,2.3,6.3,20.7,1.4,0.9,17.2,19.2,98,113,-0.2,0.5,0.3,.016,-2.1,-2.5,-4.6,-0.6
118,Darren Collison\collida01,2016-17,29,SAC,NBA,4.3,68,64,2063,15.3,.245,.239,1.3,7.2,24.5,1.6,0.4,12.6,19.8,113,114,3.1,0.8,3.9,.091,0.8,-2.3,-1.5,0.3
119,J.J. Redick\redicjj01,2016-17,32,LAC,NBA,4.3,78,78,2198,14.8,.526,.227,0.6,7.9,7.8,1.3,0.5,9.1,21.9,113,112,3.3,1.5,4.8,.105,2.0,-2.0,0.0,1.1
120,D.J. Augustin\augusdj01,2016-17,29,ORL,NBA,4.1,78,20,1538,11.0,.530,.311,1.0,7.4,20.5,1.0,0.1,13.3,19.4,104,115,0.7,0.5,1.2,.038,-0.9,-3.3,-4.2,-0.9
121,Tony Parker\parketo01,2016-17,34,SAS,NBA,4.0,63,63,1587,13.0,.121,.206,0.7,7.3,27.8,1.1,0.1,12.5,20.2,107,109,1.4,1.7,3.0,.091,-1.2,-1.7,-3.0,-0.4
122,Jamal Crawford\crawfja01,2016-17,36,LAC,NBA,3.3,82,1,2157,12.0,.371,.234,0.9,5.7,15.1,1.4,0.5,12.3,22.7,102,112,0.5,1.4,1.9,.042,-1.0,-2.1,-3.0,-0.6
