Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
60,Scott Wedman\wedmasc01,1982-83,30,TOT,NBA,8.8,75,35,1793,12.7,.041,.136,6.0,11.7,10.2,1.1,0.5,13.1,22.1,100,107,0.9,1.3,2.2,.058,-0.6,-1.0,-1.6,0.2
61,Rudy Macklin\macklru01,1982-83,24,ATL,NBA,8.6,73,20,1171,10.9,.011,.364,7.7,9.5,8.6,1.7,0.5,17.6,18.0,100,105,0.5,1.2,1.8,.073,-1.5,-0.1,-1.6,0.1
62,M.L. Carr\carrml01,1982-83,32,BOS,NBA,8.3,77,0,883,9.7,.060,.257,6.2,10.4,10.3,2.5,0.6,18.4,19.1,93,102,-0.4,1.2,0.8,.046,-2.8,0.2,-2.6,-0.1
63,Louis Orr\orrlo01,1982-83,24,NYK,NBA,8.0,82,14,1666,13.3,.003,.295,6.5,9.6,8.5,1.9,0.9,12.2,19.5,103,101,1.4,2.5,3.8,.111,-1.0,0.8,-0.2,0.8
64,Kiki Vandeweghe\vandeki01,1982-83,24,DEN,NBA,7.6,82,79,2909,21.8,.033,.364,4.3,10.9,9.8,1.0,0.7,9.0,24.9,122,111,10.5,0.6,11.0,.182,4.5,-2.8,1.6,2.7
65,Jamaal Wilkes\wilkeja01,1982-83,29,LAL,NBA,7.4,80,80,2552,17.6,.005,.208,6.6,8.2,9.7,1.2,0.4,9.6,24.1,114,109,6.1,1.3,7.4,.139,2.1,-2.4,-0.3,1.1
66,Junior Bridgeman\bridgju01,1982-83,29,MIL,NBA,7.3,70,5,1855,16.1,.015,.229,2.7,11.4,17.1,1.0,0.3,11.5,23.7,107,104,2.7,2.1,4.8,.125,0.4,-1.2,-0.8,0.6
67,Joe Bryant\bryanjo01,1982-83,28,HOU,NBA,7.2,81,56,2055,10.4,.047,.215,4.3,10.5,13.3,1.9,0.8,17.4,19.8,92,109,-1.2,1.1,0.0,-.001,-2.5,-0.4,-2.9,-0.5
68,Marty Byrnes\byrnema01,1982-83,26,IND,NBA,7.2,80,12,1436,9.6,.070,.254,5.4,9.2,15.1,1.3,0.2,14.9,13.4,103,112,0.8,0.2,1.0,.034,-1.7,-1.6,-3.3,-0.5
69,Terry Teagle\teaglte01,1982-83,22,HOU,NBA,6.1,73,44,1708,10.3,.037,.161,4.4,8.0,13.5,1.5,0.6,14.2,22.7,91,110,-1.4,0.6,-0.8,-.022,-2.7,-1.8,-4.5,-1.1
