Rk,Player,Season,Age,Tm,Lg,TRB%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Tyrone Corbin\corbity01,1994-95,32,ATL,NBA,11.0,81,4,1389,12.0,.121,.246,8.0,14.1,8.0,2.1,0.9,12.6,19.2,101,105,0.2,2.0,2.1,.073,-3.0,0.2,-2.8,-0.3
2,Clyde Drexler\drexlcl01,1994-95,32,TOT,NBA,10.0,76,75,2728,22.4,.330,.357,6.3,13.7,22.1,2.5,1.2,11.5,25.7,119,106,8.0,3.7,11.7,.206,5.5,1.0,6.5,5.9
3,Jason Kidd\kiddja01,1994-95,21,DAL,NBA,8.7,79,79,2668,15.1,.300,.321,5.8,11.9,33.2,2.9,0.6,20.4,19.0,103,109,1.1,2.6,3.7,.066,0.8,0.9,1.7,2.5
4,Nate McMillan\mcmilna01,1994-95,30,SEA,NBA,8.7,80,18,2070,13.1,.390,.146,3.8,13.4,27.0,4.0,2.0,23.0,11.5,109,103,1.6,3.6,5.1,.119,0.1,3.3,3.4,2.8
5,Kendall Gill\gillke01,1994-95,26,SEA,NBA,8.1,73,58,2125,15.2,.199,.244,5.6,10.5,13.9,2.8,1.0,12.7,22.2,107,107,2.0,2.6,4.6,.103,0.4,0.4,0.8,1.5
6,Mark Jackson\jacksma01,1994-95,29,IND,NBA,7.7,82,67,2402,14.0,.154,.270,3.7,11.5,39.2,2.3,0.5,24.9,16.1,105,106,1.4,3.1,4.5,.090,-0.4,0.5,0.0,1.2
7,Mookie Blaylock\blaylmo01,1994-95,27,ATL,NBA,7.5,80,80,3069,19.2,.463,.179,4.3,10.7,34.2,3.5,0.6,15.8,22.7,110,104,4.6,4.8,9.4,.147,4.2,1.4,5.5,5.8
8,Brian Shaw\shawbr01,1994-95,28,ORL,NBA,7.5,78,9,1836,10.4,.372,.192,3.3,11.4,29.0,2.0,0.7,25.6,16.8,97,109,-0.4,1.8,1.3,.035,-1.9,-0.5,-2.5,-0.2
9,Jalen Rose\roseja01,1994-95,22,DEN,NBA,7.2,81,37,1798,15.1,.228,.468,3.9,10.4,33.3,1.9,0.9,21.0,19.1,110,110,2.4,1.5,3.8,.103,0.7,-1.0,-0.4,0.7
10,Todd Day\dayto01,1994-95,25,MIL,NBA,7.1,82,81,2717,14.4,.398,.325,4.1,10.4,8.3,2.0,1.7,11.6,22.1,108,111,2.9,1.9,4.8,.085,1.0,-0.9,0.0,1.4
11,Calbert Cheaney\cheanca01,1994-95,23,WSB,NBA,7.0,78,71,2651,14.2,.251,.189,4.4,9.7,11.0,1.5,0.6,11.0,22.6,106,113,2.1,1.1,3.2,.058,0.5,-1.6,-1.2,0.5
12,Lucious Harris\harrilu01,1994-95,24,DAL,NBA,7.0,79,31,1695,15.1,.233,.279,5.1,9.1,12.1,1.7,0.6,10.1,18.5,117,112,3.1,1.0,4.1,.117,0.8,-1.2,-0.4,0.7
13,Dan Majerle\majerda01,1994-95,29,PHO,NBA,7.0,82,46,3091,15.1,.532,.274,3.9,10.1,15.6,1.6,0.9,8.3,17.6,119,112,6.0,1.7,7.7,.120,3.4,-0.4,3.0,3.9
14,Ron Harper\harpero01,1994-95,31,CHI,NBA,6.9,77,53,1536,12.2,.224,.267,3.9,9.9,15.3,3.3,1.3,15.4,18.8,98,103,-0.2,2.6,2.4,.073,-2.1,1.4,-0.7,0.5
15,Bryant Stith\stithbr01,1994-95,24,DEN,NBA,6.9,81,51,2329,14.4,.103,.490,5.0,8.7,10.2,2.1,0.6,12.0,17.7,116,111,3.8,1.8,5.6,.115,0.5,-0.2,0.3,1.3
16,Hersey Hawkins\hawkihe01,1994-95,28,CHH,NBA,6.8,82,82,2731,16.3,.368,.372,2.7,10.5,15.3,2.4,0.5,13.7,18.5,118,107,5.3,3.4,8.7,.153,2.6,0.8,3.4,3.7
17,Dale Ellis\ellisda01,1994-95,34,DEN,NBA,6.7,81,3,1996,12.9,.340,.164,3.5,9.7,4.8,1.0,0.3,8.9,20.6,111,113,2.4,1.0,3.4,.083,0.0,-2.9,-2.9,-0.4
18,Anfernee Hardaway\hardaan01,1994-95,23,ORL,NBA,6.6,77,77,2901,20.8,.218,.405,5.7,7.5,28.5,2.3,0.6,16.1,23.7,119,110,8.2,2.5,10.7,.177,4.9,-0.7,4.2,4.5
19,Bobby Phills\phillbo01,1994-95,25,CLE,NBA,6.6,80,79,2500,12.2,.067,.288,4.4,9.0,12.9,2.6,0.8,10.9,19.8,101,105,0.5,3.6,4.0,.078,-1.8,1.3,-0.5,1.0
20,Mitch Richmond\richmmi01,1994-95,29,SAC,NBA,6.6,82,82,3172,17.2,.283,.297,2.6,10.4,17.8,1.5,0.7,12.1,27.0,110,109,4.9,3.1,8.0,.120,2.5,-0.7,1.8,3.0
21,Pete Myers\myerspe01,1994-95,31,CHI,NBA,6.5,71,14,1270,9.1,.136,.397,5.3,7.6,16.4,2.4,0.9,20.7,14.9,97,106,-0.4,1.7,1.3,.049,-3.1,0.9,-2.3,-0.1
22,Eric Piatkowski\piatker01,1994-95,24,LAC,NBA,6.5,81,11,1208,13.9,.434,.252,5.8,7.3,10.6,1.6,0.9,11.1,20.5,111,114,1.6,0.4,2.0,.079,1.2,-2.6,-1.4,0.2
23,Sam Cassell\cassesa01,1994-95,25,HOU,NBA,6.4,82,1,1882,15.9,.322,.428,2.4,10.1,32.3,2.5,0.5,19.2,20.8,111,108,2.7,2.0,4.7,.120,0.5,-0.9,-0.4,0.8
24,Wesley Person\persowe01,1994-95,23,PHO,NBA,6.4,78,56,1800,14.2,.417,.158,4.3,8.6,8.6,1.3,1.0,10.4,18.3,116,113,3.0,0.8,3.8,.101,1.8,-1.7,0.1,1.0
25,Anthony Bowie\bowiean01,1994-95,31,ORL,NBA,6.3,77,4,1261,11.7,.108,.198,5.1,7.5,17.3,1.9,1.1,17.7,16.6,107,110,1.0,1.0,2.0,.077,-1.2,-0.7,-2.0,0.0
